month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
1,14,10,30,1.69,92.16,0,1.747,78.97,19.19,271.27,31.47,382.47,26.71,51.4
1,14,11,45,1.74,106.19,0,1.531,86.32,18.93,266.4,31.28,383.4,25.58,51.33
1,14,12,0,1.75,77.31,0,1.486,89.42,19.03,263.47,31.47,384.13,24.88,51.31
1,14,12,45,1.78,116.71,0,1.367,86.51,18.85,262.93,31.47,384,26.47,51.5
1,14,15,15,1.84,168.41,0,0.966,75.59,19.58,240.6,31.53,382.2,26.36,51.6
1,14,16,0,1.89,204.67,0,0.855,71.74,19.98,236.73,31.82,380.67,25.93,51.9
1,14,16,30,1.92,168.55,0,0.793,73.18,19.86,239.8,31.66,381.53,26.81,51.84
1,14,17,15,1.97,131.12,0,0.694,77.1,19.82,238.6,31.76,382.73,25.77,51.7
1,14,18,0,2,143.37,0,0.589,85.4,19.62,240.93,31.65,382.13,25.41,51.67
1,14,18,30,2.03,130.78,0,0.517,74.55,19.87,263.87,31.66,382.73,26.19,51.71
1,14,18,45,2.04,148.67,0,0.484,79.92,19.74,262.93,31.75,379.4,25.37,51.83
1,14,23,45,2.5,309.13,0,0.391,367.04,26.53,253.67,32.45,270.67,0,51.76
1,15,5,0,3.48,442.09,0,2.191,406.75,28.78,262.2,34.01,270.07,0,53.05
1,15,7,30,3.66,0,163.2,2.385,114.98,20.14,233.6,32.53,99.87,27.06,50.71
1,15,8,30,3.49,0,335.52,2.234,122.97,19.59,246.4,31.59,99.07,25.01,49.48
1,15,21,15,2.47,205.29,0,0.82,0,19.68,233.47,32.33,352.07,0.28,52.2
1,16,5,15,3.66,269.49,0,2.519,0,23.54,243.8,33.99,191.07,0,52.33
1,16,7,0,3.84,137.86,0,2.64,136.51,18.99,241,33.35,196.67,25.32,51.72
1,16,7,15,3.85,96.49,0,2.64,164.3,18.88,238.2,33.65,194.27,26.3,52.2
1,16,8,15,3.83,0,135.32,2.509,88.91,19.25,244,33.07,196.2,25.99,51.55
1,16,8,30,3.83,0,137.4,2.49,85.99,18.98,235,33.78,194,27.9,52.14
1,16,12,30,3.02,0,217.59,1.757,93.72,18.86,248.67,31.75,127.07,25.7,49.97
1,16,18,0,2.9,33.03,13.6,0.985,147.43,20.96,251.73,32.5,287.67,25.78,51.75
1,16,23,15,3.19,332.65,0,1.076,373.33,25.71,240.2,33.98,364.67,0,53.79
1,17,0,0,3.33,401.77,0,1.287,398.79,25.77,261.87,34.46,357.67,0,54.04
1,17,4,15,4.01,252.7,0,2.407,396.69,25.69,240,34.29,281.13,0,53.18
1,17,6,15,4.07,29.71,61.78,2.651,170.16,20.44,229.47,33.33,241.27,0,52.43
