month,day,hour,min,i_uiip,i_f,i_uiipu,truth
2,7,2,45,350.3,240.6,225.6,0
2,7,3,0,320.6,237.27,371.13,0
2,7,5,45,196.16,236,328.8,0
2,7,7,15,109.12,243.13,370.93,0
2,7,8,0,93.5,267.47,93.8,0
2,7,8,45,92.87,255.4,93.27,0
2,7,9,30,93.45,253.67,93.4,0
2,7,9,45,93.06,255.47,93.13,0
2,7,10,30,146.01,245.8,78.27,0
2,7,10,45,193.1,224.53,203.73,0
2,7,11,0,225.45,221.4,201.07,0
2,7,12,0,247.63,216.87,286.4,0
2,7,16,0,205.11,239,320.13,0
2,7,16,15,203.23,237.33,318.13,0
